Sitta europaea
Linaria cannabina
Certhia brachydactyla
Acrocephalus dumetorum
Ficedula parva
Emberiza cirlus
Anthus trivialis
Sylvia borin
Crex crex
Ficedula hypoleuca
Turdus merula
Regulus ignicapilla
Certhia familiaris
Saxicola rubetra
Locustella fluviatilis
Chloris chloris
Fringilla coelebs
Cuculus canorus
Emberiza citrinella
Cyanistes caeruleus
Poecile montanus
Locustella naevia
Columba palumbus
Corvus cornix
Saxicola rubicola
Dryocopus martius
Poecile palustris
Emberiza hortulana
Luscinia megarhynchos
Emberiza calandra
Lullula arborea
Periparus ater
Carduelis carduelis
Sylvia communis
Emberiza schoeniclus
Acrocephalus palustris
Luscinia luscinia
Phoenicurus ochruros
Carpodacus erythrinus
Porzana porzana
Hippolais icterina
Prunella modularis
Phylloscopus trochiloides
Erithacus rubecula
Turdus philomelos
Phylloscopus trochilus
Sylvia curruca
Sylvia nisoria
Troglodytes troglodytes
Phoenicurus phoenicurus
Sturnus vulgaris
Turdus torquatus
Hippolais polyglotta
Turdus viscivorus
Sylvia atricapilla
Hirundo rustica
Acrocephalus arundinaceus
Picus canus
Picus viridis
Acrocephalus schoenobaenus
Acrocephalus scirpaceus
Phylloscopus collybita
Alauda arvensis
Luscinia svecica
Oriolus oriolus
Parus major
Passer montanus
Phylloscopus sibilatrix
